time,x1,x2,theta1,theta2,theta3,theta4,xi1,xi2,YF1,YF2,YF3,YF4,YF5,YF6,YF7,YF8
0.78,0.937566,-0.0128161,5.11695,9.65384,14.9365,20.1056,10.4784,14.9523,0.875228,-0.0141164,0,0,0,-0.00982722,0.935536,-0.0132068,
0.79,0.939615,-0.0115989,5.10431,9.68467,14.9392,20.099,10.3055,14.8929,0.879029,-0.0128158,0,0,0,-0.00901332,0.937566,-0.012016,
0.8,0.941677,-0.0104634,5.09238,9.71394,14.9421,20.0924,10.1307,14.8402,0.882876,-0.0115987,0,0,0,-0.00823934,0.939615,-0.0108985,
0.81,0.943744,-0.00940702,5.08113,9.74171,14.945,20.0859,9.95477,14.7937,0.886755,-0.0104632,0,0,0,-0.00750595,0.941677,-0.0098531,
0.82,0.94581,-0.00842715,5.07054,9.76801,14.9479,20.0797,9.77823,14.7532,0.890652,-0.00940688,0,0,0,-0.00681338,0.943744,-0.00887782,
0.83,0.947869,-0.00752066,5.06059,9.7929,14.9508,20.0736,9.60165,14.7182,0.894556,-0.00842705,0,0,0,-0.00616147,0.94581,-0.00797048,
0.84,0.949915,-0.00668427,5.05125,9.81642,14.9536,20.0677,9.42554,14.6884,0.898455,-0.00752059,0,0,0,-0.00554973,0.947869,-0.0071286,
0.85,0.951945,-0.00591453,5.0425,9.83861,14.9564,20.0621,9.25038,14.6634,0.902339,-0.00668422,0,0,0,-0.0049774,0.949915,-0.00634949,
0.86,0.953953,-0.0052079,5.03432,9.85952,14.9592,20.0567,9.07657,14.6429,0.906199,-0.0059145,0,0,0,-0.00444347,0.951945,-0.00563031,
0.87,0.955936,-0.00456082,5.02669,9.8792,14.9618,20.0516,8.9045,14.6265,0.910026,-0.00520788,0,0,0,-0.00394677,0.953953,-0.0049681,
0.88,0.957889,-0.00396971,5.01957,9.89768,14.9643,20.0467,8.73452,14.6139,0.913813,-0.0045608,0,0,0,-0.00348597,0.955936,-0.00435985,
0.89,0.959811,-0.00343104,5.01296,9.91502,14.9668,20.0421,8.56694,14.6048,0.917552,-0.0039697,0,0,0,-0.00305961,0.957889,-0.00380254,
0.9,0.961698,-0.00294136,5.00684,9.93125,14.9691,20.0377,8.40204,14.5988,0.921238,-0.00343104,0,0,0,-0.00266617,0.959811,-0.00329315,
0.91,0.963548,-0.00249729,5.00117,9.94641,14.9712,20.0336,8.24008,14.5956,0.924864,-0.00294135,0,0,0,-0.00230405,0.961698,-0.0028287,
0.92,0.965359,-0.00209559,4.99594,9.96055,14.9733,20.0297,8.08129,14.5949,0.928425,-0.00249729,0,0,0,-0.00197162,0.963548,-0.00240626,
0.93,0.967128,-0.00173313,4.99114,9.9737,14.9752,20.0261,7.92586,14.5966,0.931917,-0.00209559,0,0,0,-0.00166726,0.965359,-0.002023,
0.94,0.968854,-0.00140691,4.98673,9.9859,14.9771,20.0227,7.77397,14.6002,0.935336,-0.00173313,0,0,0,-0.00138931,0.967128,-0.00167616,
0.95,0.970535,-0.00111409,4.98272,9.9972,14.9788,20.0195,7.62578,14.6056,0.938678,-0.00140691,0,0,0,-0.00113616,0.968854,-0.00136309,
0.96,0.972171,-0.00085198,4.97906,10.0076,14.9803,20.0166,7.48142,14.6125,0.941939,-0.00111409,0,0,0,-0.000906219,0.970535,-0.00108127,
0.97,0.973761,-0.000618034,4.97576,10.0172,14.9818,20.0139,7.34099,14.6208,0.945117,-0.00085198,0,0,0,-0.000697935,0.972171,-0.000828271,
0.98,0.975303,-0.000409864,4.97278,10.026,14.9832,20.0113,7.2046,14.6303,0.94821,-0.000618034,0,0,0,-0.000509808,0.973761,-0.000601817,
0.99,0.976797,-0.000225235,4.97012,10.0341,14.9845,20.009,7.07232,14.6407,0.951215,-0.000409864,0,0,0,-0.000340391,0.975303,-0.000399742,
